bloque,color,flor,uso
G-02,BICOLOR_ROSADO,CLAVEL,0
G-03,BICOLOR_ROSADO,CLAVEL,0
G-04,BICOLOR_ROSADO,CLAVEL,0
G-07,BICOLOR_ROSADO,CLAVEL,0
G-09,BICOLOR_ROSADO,CLAVEL,0
G-10,BICOLOR_ROSADO,CLAVEL,0
G-11,BICOLOR_ROSADO,CLAVEL,0
G-13,BICOLOR_ROSADO,CLAVEL,1
G-14,BICOLOR_ROSADO,CLAVEL,1
G-15,BICOLOR_ROSADO,CLAVEL,0
G-16,BICOLOR_ROSADO,CLAVEL,0
G-17,BICOLOR_ROSADO,CLAVEL,0
G-18,BICOLOR_ROSADO,CLAVEL,0
G-19,BICOLOR_ROSADO,CLAVEL,0
G-20,BICOLOR_ROSADO,CLAVEL,0
G-21,BICOLOR_ROSADO,CLAVEL,0
G-22,BICOLOR_ROSADO,CLAVEL,0
G-23,BICOLOR_ROSADO,CLAVEL,0
G-24,BICOLOR_ROSADO,CLAVEL,0
G-25,BICOLOR_ROSADO,CLAVEL,0
G-27,BICOLOR_ROSADO,CLAVEL,0
G-28,BICOLOR_ROSADO,CLAVEL,0
G-30,BICOLOR_ROSADO,CLAVEL,0
G-01,VINTAGE,CLAVEL,0
G-02,VINTAGE,CLAVEL,0
G-03,VINTAGE,CLAVEL,0
G-04,VINTAGE,CLAVEL,0
G-07,VINTAGE,CLAVEL,0
G-09,VINTAGE,CLAVEL,0
G-10,VINTAGE,CLAVEL,0
G-11,VINTAGE,CLAVEL,0
G-13,VINTAGE,CLAVEL,0
G-14,VINTAGE,CLAVEL,0
G-15,VINTAGE,CLAVEL,0
G-16,VINTAGE,CLAVEL,0
G-17,VINTAGE,CLAVEL,0
G-18,VINTAGE,CLAVEL,0
G-19,VINTAGE,CLAVEL,0
G-20,VINTAGE,CLAVEL,0
G-21,VINTAGE,CLAVEL,0
G-22,VINTAGE,CLAVEL,0
G-23,VINTAGE,CLAVEL,0
G-24,VINTAGE,CLAVEL,0
G-25,VINTAGE,CLAVEL,0
G-27,VINTAGE,CLAVEL,0
G-28,VINTAGE,CLAVEL,0
G-30,VINTAGE,CLAVEL,0
