variety_name,week_number,cost,production,farm_name,cut
SOLEX,7,0,0,LA GAITANA,
SUMATRA,7,0,0,LA GAITANA,
TENDERLY,7,0,0,LA GAITANA,
VORAGINE,7,0,0,LA GAITANA,
WALKER,7,0,0,LA GAITANA,
ZAPOTE,7,0,0,LA GAITANA,
ZURIGO,7,0,0,LA GAITANA,
ALI_BABA,8,0,0,LA GAITANA,
AMOROSA,8,0,0,LA GAITANA,
ANTIGUA,8,0,0,LA GAITANA,
ARMONIA,8,0,0,LA GAITANA,
BIZET,8,0,0,LA GAITANA,
CAROLINE_GOLD,8,0,0,LA GAITANA,
CHELO,8,0,0,LA GAITANA,
DILETTA,8,0,0,LA GAITANA,
DONCEL,8,0,0,LA GAITANA,
FARIDA,8,0,0,LA GAITANA,
EXTASIS,8,0,0,LA GAITANA,
FUENTE,8,0,0,LA GAITANA,
GRANSOLE,8,0,0,LA GAITANA,
IKEBANA,8,0,0,LA GAITANA,
ILUSION,8,0,0,LA GAITANA,
JOBIM,8,0,0,LA GAITANA,
NAUTILUS,8,0,0,LA GAITANA,
NEON,8,0,0,LA GAITANA,
LEGE_MARRONE,8,0,0,LA GAITANA,
MOONLIGHT,8,0,0,LA GAITANA,
NEW_YORK,8,0,0,LA GAITANA,
NOVIA,8,0,0,LA GAITANA,
RANDAL,8,0,0,LA GAITANA,
RODAS,8,0,0,LA GAITANA,
HAWAI,8,0,0,LA GAITANA,
SORRISO,8,0,0,LA GAITANA,
TINGUA,8,0,0,LA GAITANA,
ZAFIRO,8,0,0,LA GAITANA,
ZENIT,8,0,0,LA GAITANA,
HERMES,8,0,0,LA GAITANA,
ZEPPELIN,8,0,0,LA GAITANA,
KINO,8,0,0,LA GAITANA,
VELVET,8,0,0,LA GAITANA,
TANGELO,8,0,0,LA GAITANA,
ORANGE_FLAME,8,0,0,LA GAITANA,
TRUENO,8,0,0,LA GAITANA,
AMBROSE,8,0,0,LA GAITANA,
ANDINO,8,0,0,LA GAITANA,
BOUZERON,8,0,0,LA GAITANA,
CAPRICHO,8,0,0,LA GAITANA,
CAROCHE,8,0,0,LA GAITANA,
CAROLINE,8,0,0,LA GAITANA,
DANDY,8,0,0,LA GAITANA,
DANIKO,8,0,0,LA GAITANA,
DILETTA_CREMA,8,0,0,LA GAITANA,
DON_PEDRO,8,0,0,LA GAITANA,
FAITH,8,0,0,LA GAITANA,
FARIETA,8,0,0,LA GAITANA,
FAUSTO,8,0,0,LA GAITANA,
FREDY,8,0,0,LA GAITANA,
GLADYS,8,0,0,LA GAITANA,
GOBI,8,0,0,LA GAITANA,
GOBLIN,8,0,0,LA GAITANA,
GOLEM,8,0,0,LA GAITANA,
HELIOS,8,0,0,LA GAITANA,
ISOLA,8,0,0,LA GAITANA,
KINO_SPORT,8,0,0,LA GAITANA,
KOMACHI,8,0,0,LA GAITANA,
LIGHT_STAR,8,0,0,LA GAITANA,
LIZZY,8,0,0,LA GAITANA,
MADELON,8,0,0,LA GAITANA,
MEGAN,8,0,0,LA GAITANA,
MELODIA,8,0,0,LA GAITANA,
MIZUKI,8,0,0,LA GAITANA,
MONTOYA,8,0,0,LA GAITANA,
PELAYO,8,0,0,LA GAITANA,
POLIMNIA,8,0,0,LA GAITANA,
SOLEX,8,0,0,LA GAITANA,
SUMATRA,8,0,0,LA GAITANA,
TENDERLY,8,0,0,LA GAITANA,
VORAGINE,8,0,0,LA GAITANA,
WALKER,8,0,0,LA GAITANA,
ZAPOTE,8,0,0,LA GAITANA,
